Index,ID,Category,Subcategory,Question Number,Is Multi Select,Question Text,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Correct Answers,Explanation,Personal Notes
25,broker-questions3-q25,Broker,Questions3,25,No,How can you set a retention period of 2 weeks for a specific topic in Kafka?,Set `retention.ms=1209600000` in the topic configuration,Set `log.retention.hours=336` in the broker configuration,Set `log.retention.ms=1209600000` in the broker configuration,Set `retention.ms=1209600000` in the broker configuration,,,A,"**Answer:** A

**Explanation:**
To set a retention period of 2 weeks for a specific topic in Kafka, you need to set the `retention.ms` parameter in the topic configuration. The `retention.ms` parameter specifies the retention period in milliseconds. To calculate the value for 2 weeks, you can use the following formula:

2 weeks = 14 days
1 day = 24 hours
1 hour = 60 minutes
1 minute = 60 seconds
1 second = 1000 milliseconds
2 weeks = 14 days * 24 hours/day * 60 minutes/hour * 60 seconds/minute * 1000 milliseconds/second
= 1,209,600,000 milliseconds

Therefore, setting `retention.ms=1209600000` in the topic configuration will configure a retention period of 2 weeks for that specific topic. Setting the retention period in the broker configuration using `log.retention.hours` or `log.retention.ms` would apply the retention period to all topics in the cluster, not just a specific topic.",
26,broker-questions3-q26,Broker,Questions3,26,No,What is the default value of the `log.retention.hours` configuration in Kafka?,168 hours (1 week),24 hours (1 day),720 hours (30 days),Infinite retention,,,A,"**Answer:** A

**Explanation:**
The default value of the `log.retention.hours` configuration in Kafka is 168 hours, which is equivalent to 1 week. If no retention period is explicitly set using `log.retention.ms`, `log.retention.minutes`, or `log.retention.hours`, Kafka will retain log segments for a period of 1 week by default. This means that log segments older than 1 week will be automatically deleted by Kafka to free up storage space. However, it's important to note that the actual retention period can be influenced by other factors, such as the `log.retention.bytes` configuration, which limits the total size of log segments retained, and the `log.segment.bytes` configuration, which determines the size of individual log segments.",
27,cli-questions1-q1,CLI,Questions1,1,No,"Viewing Kafka Topic Configuration

**Question:**  
How can you view the current configuration of a Kafka topic?",Use the kafka-topics.sh --describe command,Use the kafka-configs.sh --describe command,Use the zookeeper-shell.sh command to navigate to the topic's configuration znode,Look in the Kafka broker's log files for the topic configuration,,,B,"**Answer:** B

**Explanation:**

To view the current configuration of a Kafka topic, you should use the kafka-configs.sh --describe command. This tool is designed to manage and display configurations for Kafka entities, including topics, brokers, and clients.

When you run:
```bash
kafka-configs.sh --bootstrap-server <broker> --entity-type topics --entity-name <topic-name> --describe
```

It retrieves and displays the configuration properties for the specified topic, such as:
- Retention policy (retention.ms)
- Cleanup policy (cleanup.policy)
- Compression type

**Option A**: The kafka-topics.sh --describe command provides metadata about the topic, such as partition count, replication factor, and leadership information, but does not show configuration properties like retention settings.

**Option C**: Using zookeeper-shell.sh to inspect topic configurations directly in Zookeeper is not recommended. This approach is outdated, especially as newer Kafka versions no longer rely on Zookeeper.

**Option D**: Topic configurations are not stored in the Kafka broker's log files. These files contain runtime logs, not configuration data.",
28,cli-questions1-q2,CLI,Questions1,2,No,What is the default behavior of the `kafka-console-consumer` when no consumer group is specified?,It joins a random consumer group,It creates a new consumer group with a generated name,It fails with an error indicating that a consumer group must be specified,It consumes messages without joining any consumer group,,,B,"**Answer:** B

**Explanation:**
When using the `kafka-console-consumer` CLI tool to consume messages from a Kafka topic, if you don't explicitly specify a consumer group using the `--group` option, the tool's default behavior is to create a new consumer group with a generated name.

The `kafka-console-consumer` automatically generates a unique consumer group name for each instance of the tool that is run without a specified group. The generated group name typically follows a pattern like `console-consumer-<random-string>`, where `<random-string>` is a randomly generated string to ensure uniqueness.

- B. creating a new consumer group for each instance, the `kafka-console-consumer` ensures that multiple instances of the tool can consume messages independently from the same topic without interfering with each other's offsets or causing rebalances.

Statement A is incorrect because the tool does not join a random existing consumer group. It creates a new group with a generated name.

Statement C is incorrect because the tool does not fail with an error when no consumer group is specified. It handles this scenario by creating a new group.

Statement D is incorrect because the `kafka-console-consumer` always joins a consumer group, even if it's a newly created one with a generated name. It does not consume messages without being part of a group.

</details>

 ## Question 3

How does the `kafka-console-consumer` behave when you specify the `--from-beginning` option?

- A. It starts consuming messages from the earliest available offset in the assigned partitions
- B. It starts consuming messages from the latest available offset in the assigned partitions
- C. It starts consuming messages from a specific offset that you provide
- D. It starts consuming messages from a random offset in the assigned partitions

<details>
<summary>Response:</summary> 

**Answer:** A

**Explanation:**
When you run the `kafka-console-consumer` CLI tool with the `--from-beginning` option, it starts consuming messages from the earliest available offset in the assigned partitions.

- B. default, when a consumer starts consuming from a topic, it begins from the latest offset, which means it will only receive new messages that are produced after the consumer started. However, when you specify the `--from-beginning` option, the consumer will seek to the earliest available offset in each assigned partition and start consuming messages from there.

This option is useful when you want to consume all the messages in a topic, including the older messages that were produced before the consumer started. It allows you to process the entire history of messages in the topic.

Keep in mind that consuming from the beginning can result in a large number of messages being processed, especially if the topic has a long retention period or has been receiving messages for a significant time.

Statement B is incorrect because the `--from-beginning` option does not start consuming from the latest offset. It starts from the earliest offset.

Statement C is incorrect because the `--from-beginning` option does not allow you to specify a specific offset to start consuming from. It always starts from the earliest available offset.

Statement D is incorrect because the `--from-beginning` option does not start consuming from a random offset. It deterministically starts from the earliest offset in each assigned partition.",
29,cli-questions1-q4,CLI,Questions1,4,No,What happens when you run multiple instances of the `kafka-console-consumer` with the same consumer group?,"The instances will consume messages independently, each receiving a copy of every message",The instances will collaborate and distribute the partitions among themselves for parallel consumption,"The instances will compete for messages, and each message will be consumed by only one instance","The instances will consume messages in a round-robin fashion, with each instance receiving a subset of messages",,,B,"**Answer:** B

**Explanation:**
When you run multiple instances of the `kafka-console-consumer` CLI tool with the same consumer group, the instances will collaborate and distribute the partitions among themselves for parallel consumption.

In Kafka, consumers within the same consumer group coordinate with each other to share the work of consuming messages from the topic partitions. When multiple consumers belong to the same group, Kafka assigns each partition to one consumer in the group. This assignment is dynamic and can change over time as consumers join or leave the group.

Here's how it works:

1. When the first consumer instance starts, it becomes the group leader and triggers a rebalance. It is assigned a subset of the topic partitions.
2. When subsequent consumer instances start with the same group, they join the group and trigger a rebalance. The partitions are redistributed among all the consumers in the group.
3. Each consumer instance will consume messages from its assigned partitions independently. Messages from a single partition are processed by only one consumer instance.
4. If a consumer instance fails or is terminated, the partitions it was consuming are redistributed among the remaining consumers in the group during a rebalance.

This collaborative consumption model allows for parallel processing of messages, improved throughput, and fault tolerance. The workload is distributed among the consumer instances, and if one instance fails, the others can take over its partitions.

Statement A is incorrect because the instances do not consume messages independently or receive a copy of every message. They collaborate and divide the partitions among themselves.

Statement C is incorrect because the instances do not compete for messages. Each message is consumed by only one instance, but the instances work together to distribute the partitions.

Statement D is incorrect because the instances do not consume messages in a round-robin fashion. Each instance is assigned specific partitions and consumes messages only from those partitions.",
30,cli-questions1-q5,CLI,Questions1,5,No,"How can you create a topic named ""test"" with 3 partitions and a replication factor of 2 using the Kafka CLI?",kafka-topics.sh --create --zookeeper localhost:2181 --topic test --partitions 3 --replication-factor 2,kafka-topics.sh --create --bootstrap-server localhost:9092 --topic test --partitions 3 --replication-factor 2,kafka-console-producer.sh --broker-list localhost:9092 --topic test --partitions 3 --replication-factor 2,kafka-console-consumer.sh --bootstrap-server localhost:9092 --topic test --partitions 3 --replication-factor 2,,,B,"**Answer:** B

**Explanation:**
To create a topic using the Kafka CLI, you should use the `kafka-topics.sh` command with the `--create` option. The `--bootstrap-server` option is used to specify the Kafka broker(s) to connect to, while `--zookeeper` is deprecated. The `--partitions` and `--replication-factor` options are used to set the desired number of partitions and replication factor for the topic.",
31,cli-questions1-q6,CLI,Questions1,6,No,Which command can you use to list all the topics in a Kafka cluster?,kafka-topics.sh --list --zookeeper localhost:2181,kafka-topics.sh --list --bootstrap-server localhost:9092,kafka-console-producer.sh --list --broker-list localhost:9092,kafka-console-consumer.sh --list --bootstrap-server localhost:9092,,,B,"**Answer:** B

**Explanation:**
To list all the topics in a Kafka cluster, you should use the `kafka-topics.sh` command with the `--list` option. The `--bootstrap-server` option is used to specify the Kafka broker(s) to connect to. The `--zookeeper` option is deprecated in newer versions of Kafka.",
32,cli-questions1-q7,CLI,Questions1,7,No,"**Question:**  
How can you describe the configuration of a topic named ""test"" using the Kafka CLI?",kafka-topics.sh --describe --topic test --zookeeper localhost:2181,kafka-topics.sh --describe --topic test --bootstrap-server localhost:9092,kafka-configs.sh --describe --entity-type topics --entity-name test --zookeeper localhost:2181,kafka-configs.sh --describe --entity-type topics --entity-name test --bootstrap-server localhost:9092,,,D,"**Answer:** D

To describe the configuration of a topic, you should use the `kafka-configs.sh` command with the `--describe` option. The `--entity-type` option should be set to ""topics"", and the `--entity-name` option should be set to the name of the topic. The `--bootstrap-server` option is used to specify the Kafka broker(s) to connect to, while `--zookeeper` is deprecated.

**Explanation:**

**Option A**: This is incorrect for two reasons:
1. It uses `kafka-topics.sh` instead of `kafka-configs.sh`
2. It uses the deprecated `--zookeeper` option

**Option B**: While this uses the correct `--bootstrap-server` option, it still uses `kafka-topics.sh` which shows topic metadata but not configuration properties.

**Option C**: This uses the correct tool (`kafka-configs.sh`) but with the deprecated `--zookeeper` option, which should not be used in current Kafka versions.",
33,cli-questions1-q8,CLI,Questions1,8,No,Which Kafka CLI command is used to produce messages to a topic?,kafka-console-producer.sh,kafka-console-consumer.sh,kafka-topics.sh,kafka-configs.sh,,,A,"**Answer:** A

**Explanation:**
To produce messages to a topic using the Kafka CLI, you should use the `kafka-console-producer.sh` command. This command reads input from the console and publishes it to the specified Kafka topic. You need to provide the `--bootstrap-server` or `--broker-list` option to specify the Kafka broker(s) to connect to, and the `--topic` option to specify the topic to produce messages to.",
34,cli-questions1-q9,CLI,Questions1,9,No,"How can you consume messages from the beginning of a topic named ""test"" using the Kafka CLI?",kafka-console-consumer.sh --bootstrap-server localhost:9092 --topic test --from-beginning,kafka-console-consumer.sh --bootstrap-server localhost:9092 --topic test,kafka-console-producer.sh --bootstrap-server localhost:9092 --topic test --from-beginning,kafka-console-producer.sh --bootstrap-server localhost:9092 --topic test,,,A,"**Answer:** A

**Explanation:**
To consume messages from the beginning of a topic using the Kafka CLI, you should use the `kafka-console-consumer.sh` command with the `--from-beginning` option. This option tells the consumer to start consuming from the earliest available offset in the topic. The `--bootstrap-server` option is used to specify the Kafka broker(s) to connect to, and the `--topic` option is used to specify the topic to consume from.",
35,cli-questions1-q10,CLI,Questions1,10,No,What is the purpose of the `--group` option in the `kafka-console-consumer.sh` command?,To specify the consumer group ID for the console consumer,To specify the number of consumer instances in the group,To specify the list of topics to consume from,To specify the bootstrap server for the consumer,,,A,"**Answer:** A

**Explanation:**
The `--group` option in the `kafka-console-consumer.sh` command is used to specify the consumer group ID for the console consumer. If not specified, the console consumer will join a random consumer group. Specifying a group ID allows multiple consumer instances to coordinate and distribute the partitions of a topic among themselves for parallel consumption.",
36,cli-questions2-q11,CLI,Questions2,11,No,"How can you delete a topic named ""test"" using the Kafka CLI?",kafka-topics.sh --delete --topic test --zookeeper localhost:2181,kafka-topics.sh --delete --topic test --bootstrap-server localhost:9092,kafka-configs.sh --delete --entity-type topics --entity-name test --bootstrap-server localhost:9092,kafka-console-producer.sh --delete --topic test --bootstrap-server localhost:9092,,,B,"**Answer:** B

**Explanation:**
To delete a topic using the Kafka CLI, you should use the `kafka-topics.sh` command with the `--delete` option. The `--bootstrap-server` option specifies the Kafka broker(s) to connect to.",
37,cli-questions2-q12,CLI,Questions2,12,No,What command can you use to reset offsets for a consumer group in Kafka?,kafka-consumer-groups.sh --reset-offsets,kafka-topics.sh --reset-offsets,kafka-console-consumer.sh --reset-offsets,kafka-configs.sh --reset-offsets,,,A,"**Answer:** A

**Explanation:**
To reset offsets for a consumer group, you should use the `kafka-consumer-groups.sh` command with the `--reset-offsets` option.",
38,cli-questions2-q13,CLI,Questions2,13,No,How can you check the consumer group lag for a specific consumer group using the Kafka CLI?,kafka-consumer-groups.sh --describe --group <group-id> --bootstrap-server localhost:9092,kafka-topics.sh --describe --group <group-id> --bootstrap-server localhost:9092,kafka-configs.sh --describe --group <group-id> --bootstrap-server localhost:9092,kafka-console-consumer.sh --describe --group <group-id> --bootstrap-server localhost:9092,,,A,"**Answer:** A

**Explanation:**
To check the consumer group lag, you should use the `kafka-consumer-groups.sh` command with the `--describe` option and specify the `--group` option along with the consumer group ID.",
39,cli-questions2-q14,CLI,Questions2,14,No,Which command is used to increase the number of partitions for an existing topic?,kafka-topics.sh --alter --topic <topic-name> --partitions <number-of-partitions> --bootstrap-server localhost:9092,kafka-topics.sh --create --topic <topic-name> --partitions <number-of-partitions> --bootstrap-server localhost:9092,kafka-configs.sh --alter --entity-type topics --entity-name <topic-name> --partitions <number-of-partitions> --bootstrap-server localhost:9092,kafka-console-producer.sh --alter --topic <topic-name> --partitions <number-of-partitions> --bootstrap-server localhost:9092,,,A,"**Answer:** A

**Explanation:**
To increase the number of partitions for an existing topic, you should use the `kafka-topics.sh` command with the `--alter` option and specify the `--partitions` option with the new number of partitions.",
40,cli-questions2-q15,CLI,Questions2,15,No,How can you view the log of a specific Kafka topic?,kafka-log-dirs.sh --describe --topic <topic-name> --bootstrap-server localhost:9092,kafka-console-consumer.sh --topic <topic-name> --from-beginning --bootstrap-server localhost:9092,kafka-topics.sh --describe --topic <topic-name> --bootstrap-server localhost:9092,kafka-console-producer.sh --log --topic <topic-name> --bootstrap-server localhost:9092,,,B,"**Answer:** B

**Explanation:**
To view the log of a specific Kafka topic, you can use the `kafka-console-consumer.sh` command with the `--from-beginning` option to start consuming messages from the earliest available offset in the topic.",
41,cli-questions2-q16,CLI,Questions2,16,No,Which command can be used to change the configuration of a Kafka broker?,kafka-configs.sh --alter --entity-type brokers --entity-name <broker-id> --add-config <key>=<value> --bootstrap-server localhost:9092,kafka-configs.sh --alter --entity-type brokers --entity-name <broker-id> --add-config <key>=<value> --zookeeper localhost:2181,kafka-topics.sh --alter --entity-type brokers --entity-name <broker-id> --add-config <key>=<value> --bootstrap-server localhost:9092,kafka-topics.sh --alter --entity-type brokers --entity-name <broker-id> --add-config <key>=<value> --zookeeper localhost:2181,,,A,"**Answer:** A

**Explanation:**
To change the configuration of a Kafka broker, you should use the `kafka-configs.sh` command with the `--alter` option, specifying the `--entity-type` as brokers and the `--entity-name` as the broker ID. The `--bootstrap-server` option specifies the Kafka broker(s) to connect to.",
42,cli-questions2-q17,CLI,Questions2,17,No,How can you reassign partitions in a Kafka cluster?,kafka-reassign-partitions.sh --execute --reassignment-json-file <file-path> --bootstrap-server localhost:9092,kafka-topics.sh --execute --reassignment-json-file <file-path> --bootstrap-server localhost:9092,kafka-console-producer.sh --execute --reassignment-json-file <file-path> --bootstrap-server localhost:9092,kafka-configs.sh --execute --reassignment-json-file <file-path> --bootstrap-server localhost:9092,,,A,"**Answer:** A

**Explanation:**
To reassign partitions in a Kafka cluster, you should use the `kafka-reassign-partitions.sh` command with the `--execute` option and provide the path to the reassignment JSON file.",
43,cli-questions2-q18,CLI,Questions2,18,No,Which command can be used to create a consumer group in Kafka?,kafka-console-consumer.sh --create-group --group <group-id> --bootstrap-server localhost:9092,kafka-consumer-groups.sh --create --group <group-id> --bootstrap-server localhost:9092,kafka-topics.sh --create-group --group <group-id> --bootstrap-server localhost:9092,Kafka consumer groups are created automatically when a consumer joins the group for the first time.,,,D,"**Answer:** D

**Explanation:**
Kafka consumer groups are created automatically when a consumer joins the group for the first time. There is no specific CLI command to create a consumer group manually.",
44,cli-questions2-q19,CLI,Questions2,19,No,How can you move messages from one Kafka topic to another using the CLI?,kafka-reassign-partitions.sh --source-topic <source-topic> --destination-topic <destination-topic> --bootstrap-server localhost:9092,Use a combination of kafka-console-consumer.sh and kafka-console-producer.sh,kafka-topics.sh --move --source-topic <source-topic> --destination-topic <destination-topic> --bootstrap-server localhost:9092,kafka-console-producer.sh --move --source-topic <source-topic> --destination-topic <destination-topic> --bootstrap-server localhost:9092,,,B,"**Answer:** B

**Explanation:**
To move messages from one Kafka topic to another using the CLI, you can use a combination of `kafka-console-consumer.sh` to consume messages from the source topic and `kafka-console-producer.sh` to produce them to the destination topic.",
45,cli-questions2-q20,CLI,Questions2,20,No,What is the purpose of the `--offset` option in the `kafka-console-consumer.sh` command?,To specify the starting offset for consuming messages,To specify the offset at which messages should be deleted,To specify the offset at which messages should be produced,To reset the offset for a consumer group,,,A,"**Answer:** A

**Explanation:**
The `--offset` option in the `kafka-console-consumer.sh` command is used to specify the starting offset for consuming messages. This allows you to start consuming from a specific point in the topic.",
46,cluster-administration-questions1-q1,Cluster-Administration,Questions1,1,Yes,Which of the following is stored in Zookeeper for a Kafka cluster? (Select two),Consumer offsets,Kafka broker information,Topic partition assignments,Topic-level configurations,Producer client IDs,,"B, D","**Answer:** B, D

**Explanation:**
In a Kafka cluster, Zookeeper is used to store critical cluster metadata. This includes:

- Kafka broker information: Details about each broker in the cluster.
- Topic-level configurations: Topic configurations such as retention policies, replication factors, etc.

The other options are stored elsewhere:

- A: Consumer offsets are stored in the `__consumer_offsets` topic in Kafka itself, not in Zookeeper.
- C: Topic partition assignments are managed by the Kafka controller, not stored in Zookeeper.
- E: Producer client IDs are not stored in Zookeeper. They are just identifiers used by the producer clients.",
47,cluster-administration-questions1-q2,Cluster-Administration,Questions1,2,No,"In a Kafka cluster, you have a topic with 6 partitions and a replication factor of 3. How many replicas of each partition will be spread across the brokers?",1 replica per partition,2 replicas per partition,3 replicas per partition,6 replicas per partition,,,C,"**Answer:** C

**Explanation:**
In Kafka, the replication factor determines the number of copies (replicas) of each partition that will be maintained across the brokers in the cluster. When you create a topic with a specific replication factor, Kafka ensures that each partition has the specified number of replicas distributed across different brokers.

In this case, with a replication factor of 3, each partition will have 3 replicas. These replicas will be spread across different brokers in the cluster to provide fault tolerance and high availability.

Here's how the replicas will be distributed:

- Each partition will have one leader replica and two follower replicas.
- The leader replica handles all read and write operations for the partition.
- The follower replicas continuously replicate the data from the leader replica to maintain an identical copy.
- The follower replicas are ready to take over as the leader if the current leader fails.

With 6 partitions and a replication factor of 3, there will be a total of 18 replicas (6 partitions × 3 replicas per partition) distributed across the brokers in the cluster. Kafka will automatically assign the replicas to different brokers to ensure data redundancy and fault tolerance.

It's important to note that the number of replicas per broker may vary depending on the number of brokers in the cluster and how Kafka distributes the replicas. Kafka aims to evenly distribute the replicas across the available brokers to balance the load and ensure optimal performance.",
48,cluster-administration-questions1-q3,Cluster-Administration,Questions1,3,No,What happens to the replicas when a broker in a Kafka cluster goes down?,All replicas on the failed broker are permanently lost,The replicas on the failed broker are automatically redistributed to other brokers,The replicas on the failed broker become unavailable until the broker is restarted,The replicas on the failed broker are immediately promoted to be leaders on other brokers,,,C,"**Answer:** C

**Explanation:**
When a broker in a Kafka cluster goes down, the replicas hosted on that broker become unavailable until the broker is restarted. Kafka is designed to handle broker failures and ensure data integrity and availability through replication.

Here's what happens to the replicas when a broker fails:

1. The replicas hosted on the failed broker become inaccessible.
2. For partitions where the failed broker was hosting the leader replica:
   - One of the follower replicas on another broker is promoted to become the new leader.
   - Clients (producers and consumers) automatically reconnect to the new leader replica.
   - The new leader starts accepting read and write operations for the partition.
3. For partitions where the failed broker was hosting a follower replica:
   - The leader replica on another broker continues to serve read and write operations.
   - The follower replicas on other brokers continue to replicate data from the leader.
4. When the failed broker is restarted:
   - It rejoins the cluster and starts catching up with the latest data from the leader replicas.
   - Once the replicas on the restarted broker are fully caught up, they can serve as leaders or followers again.

It's important to note that while the replicas on the failed broker are unavailable, Kafka maintains data availability and integrity through replication on other brokers. As long as there are enough in-sync replicas (ISRs) available, Kafka can continue serving read and write operations for the affected partitions.

However, if the number of in-sync replicas falls below the configured `min.insync.replicas` setting, Kafka will stop accepting writes to the affected partitions to prevent data loss.",
49,cluster-administration-questions1-q4,Cluster-Administration,Questions1,4,No,How does Kafka ensure data integrity and consistency across replicas?,By using a two-phase commit protocol,By relying on ZooKeeper for distributed consensus,By implementing a leader-follower replication model,By using a gossip protocol for eventual consistency,,,C,"**Answer:** C

**Explanation:**
Kafka ensures data integrity and consistency across replicas by implementing a leader-follower replication model. In this model, each partition has one leader replica and zero or more follower replicas.

Here's how Kafka maintains data integrity and consistency:

1. Leader replica:
   - The leader replica is responsible for handling all read and write operations for a partition.
   - When a producer writes data to a partition, it sends the data to the leader replica.
   - The leader replica appends the data to its log and assigns it an offset.
2. Follower replicas:
   - The follower replicas continuously replicate data from the leader replica.
   - They fetch new data from the leader and append it to their own logs.
   - The follower replicas aim to stay in sync with the leader by replicating data as quickly as possible.
3. In-sync replicas (ISRs):
   - An in-sync replica is a replica (leader or follower) that is fully caught up with the leader and has all the latest data.
   - The set of in-sync replicas is maintained by the leader and communicated to the cluster controller.
   - Only in-sync replicas are eligible to become the leader in case of a failure.
4. Consistency guarantees:
   - Kafka guarantees that data is considered committed only when it has been successfully replicated to all in-sync replicas.
   - Producers can specify the `acks` configuration to control the level of durability and consistency required for their writes.
   - Consumers always read committed data from the leader replica to ensure consistency.

- B. using this leader-follower replication model, Kafka ensures that data is consistently replicated across multiple brokers. The leader replica acts as the authoritative source of data, and the follower replicas continuously replicate data from the leader to maintain consistency.

Kafka's replication mechanism provides fault tolerance, high availability, and data durability. If a leader replica fails, one of the in-sync follower replicas is automatically promoted to be the new leader, ensuring continued availability of data.",
50,consumer-questions1-q1,Consumer,Questions1,1,Yes,Which of the following is stored in the Kafka `__consumer_offsets` topic? (Select two),The latest committed offset for each consumer group,The list of consumers in each consumer group,The mapping of partitions to consumer groups,The last produced message for each topic partition,The earliest committed offset for each consumer group,,"A, C","**Answer:** A, C

**Explanation:**
The `__consumer_offsets` topic in Kafka stores:

A. The latest committed offset for each consumer group: This allows consumers to resume consumption from the correct point after restarts or failures.
C. The mapping of partitions to consumer groups: The keys in the __consumer_offsets topic records include the Group ID, Topic, and Partition, effectively mapping consumer groups to the partitions they are consuming.
The other options are not stored in this topic:

B. The list of consumers in each consumer group: Managed by the Group Coordinator and not stored in __consumer_offsets.
D. The last produced message for each topic partition: Stored in the topic partitions themselves.
E. The earliest committed offset for each consumer group: Only the latest committed offsets are stored.",
51,consumer-questions1-q2,Consumer,Questions1,2,No,"There are two consumers C1 and C2 belonging to the same group G subscribed to topics T1, T2, and T3. Each topic has 4 partitions. Assuming all partitions have data, how many partitions will each consumer be assigned with the Range Assignor?","C1: 6 partitions, C2: 6 partitions","C1: 4 partitions, C2: 8 partitions","C1: 2 partitions from each topic, C2: 2 partitions from each topic","C1: 1 partition from each topic, C2: 3 partitions from each topic",,,A,"**Answer:** A

**Explanation:**
With the Range Assignor, each consumer will be assigned a contiguous range of partitions from each topic. In this case, with 4 partitions per topic and 2 consumers, each consumer will get 2 partitions from each topic.",
52,consumer-questions1-q3,Consumer,Questions1,3,No,"There are four consumers C1, C2, C3, C4 belonging to the same group G subscribed to two topics T1 and T2. T1 has 3 partitions and T2 has 2 partitions. With the Round Robin Assignor, which consumer(s) will be assigned partition 2 from topic T1?",C1,C2,C3,C4,,,C,"**Answer:** C

**Explanation:**
With the Round Robin Assignor, partitions are assigned to consumers sequentially, one by one, going around all the consumers repeatedly. In this case, the assignment will be:

- C1: T1-0, T2-1
- C2: T1-1, T2-0
- C3: T1-2
- C4: (no partitions)

So partition 2 from topic T1 will be assigned to consumer C3.",
53,consumer-questions1-q4,Consumer,Questions1,4,No,"There are three consumers C1, C2, C3 belonging to the same group G subscribed to a topic T. The topic has 10 partitions. If the Sticky Assignor is used, and C1 leaves the group, how will the partitions be rebalanced?",All partitions will be reassigned evenly among C2 and C3,"C2 and C3 will retain their existing partitions, and the partitions from C1 will be reassigned to either C2 or C3",All partitions will be reassigned randomly to C2 and C3,"C2 and C3 will retain their existing partitions, and the partitions from C1 will not be reassigned",,,B,"**Answer:** B

**Explanation:**
The Sticky Assignor aims to minimize partition movement when the group membership changes. When a consumer leaves, it tries to reassign the partitions from the leaving consumer to the remaining consumers, while keeping the existing assignments as sticky as possible.

- A, C are not correct because they involve unnecessary partition movement.
- D is incorrect because the partitions from the leaving consumer will be reassigned, not left unassigned.",
54,consumer-questions1-q5,Consumer,Questions1,5,No,A Kafka Streams application tries to consume from an input topic partition. It receives an 'Offset Out Of Range' error from the broker. How should the application handle this?,Reset the consumer offset to the earliest offset and retry,Reset the consumer offset to the latest offset and retry,Trigger a shutdown of the Streams application,Ignore the error and continue processing other partitions,,,A,"**Answer:** A

**Explanation:**
- A. 'Offset Out Of Range' error in Kafka Streams indicates that the application is trying to fetch from an offset that is no longer available in the partition, usually because the data has been deleted due to retention policies. The recommended way to handle this is to reset the consumer offset to the earliest available offset and retry consuming from there.

- B is not recommended because resetting to the latest offset will skip over the missing data.
- C is too extreme. The error can be handled without shutting down the entire application.
- D will lead to data loss as the partition with the error will be ignored.",
55,consumer-questions1-q6,Consumer,Questions1,6,No,You are designing a Kafka consumer application that will consume messages from a topic. The messages in the topic are in JSON format. Which of the following properties should you set in the consumer configuration?,`key.deserializer=JsonDeserializer`,`value.deserializer=JsonDeserializer`,`key.deserializer=StringDeserializer`,`value.deserializer=StringDeserializer`,,,B,"**Answer:** B

**Explanation:**
In a Kafka consumer application, you need to specify how to deserialize the message keys and values. Since the messages in the topic are in JSON format, you should set:

- `value.deserializer=JsonDeserializer`: This tells the consumer to use the `JsonDeserializer` to deserialize the message values from JSON to Java objects.

The other options are not correct:

- A: `key.deserializer=JsonDeserializer` would be correct if the message keys were also in JSON format. However, the question doesn't specify the key format.
- C and D: `StringDeserializer` is not appropriate because the message values are in JSON format, not plain strings.",
56,consumer-questions1-q7,Consumer,Questions1,7,No,A consumer wants to read messages from a specific partition of a topic. Which of the following methods should be used?,"`KafkaConsumer.subscribe(String topic, int partition)`",`KafkaConsumer.assign(Collection<TopicPartition> partitions)`,`KafkaConsumer.subscribe(Collection<TopicPartition> partitions)`,"`KafkaConsumer.assign(String topic, int partition)`",,,B,"**Answer:** B

**Explanation:**
To read messages from a specific partition of a topic, a consumer should use the `assign` method of the `KafkaConsumer` class.

The `assign` method takes a collection of `TopicPartition` objects as a parameter. Each `TopicPartition` represents a specific partition of a topic. By passing a collection of `TopicPartition` objects to `assign`, the consumer is explicitly assigned to those specific partitions.

The other options are incorrect:

- A and D are incorrect because `KafkaConsumer` does not have a method that takes a topic and partition as separate parameters.
- C is incorrect because `subscribe` is used for subscribing to entire topics, not specific partitions. When you subscribe to a topic, Kafka automatically assigns partitions to the consumer.

Using `assign` allows for fine-grained control over which partitions a consumer reads from. It's useful in scenarios where you want to manually balance partitions across consumers or implement a custom partition assignment strategy.",
57,consumer-questions1-q8,Consumer,Questions1,8,No,What happens when a consumer is assigned a partition that does not exist in the Kafka cluster?,The consumer will ignore the non-existent partition and continue processing other assigned partitions,The consumer will throw an exception and stop processing,The consumer will create the partition automatically,The consumer will wait until the partition is created,,,B,"**Answer:** B

**Explanation:**
When a consumer is assigned a partition that does not exist in the Kafka cluster, it will throw an exception and stop processing.

In Kafka, partitions are created administratively before data is produced to them. Consumers do not have the ability to create partitions automatically. If a consumer tries to read from a non-existent partition, it is considered an error condition.

When a consumer encounters a non-existent partition in its assignment:

- It will throw a `InvalidTopicException` or `UnknownTopicOrPartitionException`.
- The consumer will stop processing and will not continue reading from other assigned partitions.
- The application will need to handle the exception and decide how to proceed (e.g., logging an error, retrying with a valid assignment, etc.).

Therefore, statements A, C, and D are incorrect. The consumer will not ignore the non-existent partition, create it automatically, or wait for it to be created. It will throw an exception and stop processing.

To avoid this error, ensure that the partitions assigned to a consumer actually exist in the Kafka cluster. Double-check the topic names and partition numbers in your consumer configuration or application code.",
